IDENTIFIERS,,,,,TRIAD VARIABLE,INDIVIDUAL I.V.s: P1,,,INDIVIDUAL I.V.: P2,DYAD I.V.s: SYMMETRICAL,,,DYAD I.V.: ASSYMETRICAL,D.V.s: PRISONER'S DILEMMA PLAY,,D.V.s: WARMTH & COMPETENCE RATINGS,,,
original sort order,triad,code letters of P1 & P2,chairs of P1 & P2,P1 ID#,Sex,P1 childhood zip code income,P1 primary psychopathy,P1 secondary psychopathy,P2 facial attractiveness,cultural style similarity,language style matching score,common ground discovered,P2 interrupts P1,P1 PD toward P2,P2 PD toward P1,P1 rates P2's warmth,P1 rates P2's competence,P2 rates P1's warmth,P2 rates P1's competence
59,10,BC,LR,92128599,1,0.87,0.08,1.67,0.91,-0.30,0.86,0,0.26,1,1,-1.08,-1.78,-1.72,0.94
60,10,CB,RL,92151083,1,0.20,-0.05,-0.66,0.70,-0.30,0.86,0,0.00,1,1,-1.72,0.94,-1.08,-1.78
57,10,AC,CR,92122797,1,-0.47,-0.32,0.07,0.91,0.67,0.91,0,0.00,1,1,-0.39,1.05,0.84,-0.20
58,10,CA,RC,92151083,1,0.20,-0.05,-0.66,0.80,0.67,0.91,0,0.00,1,1,0.84,-0.20,-0.39,1.05
64,11,CA,LC,92190632,0,-0.28,-1.89,-0.17,0.53,-1.28,0.81,1,1.18,1,1,0.20,0.18,0.68,0.88
63,11,AC,CL,92125775,0,1.87,1.75,1.40,1.64,-1.28,0.81,1,0.59,1,1,0.68,0.88,0.20,0.18
66,11,CB,LR,92190632,0,-0.28,-1.89,-0.17,-0.14,0.32,0.75,0,0.00,1,1,-1.29,-0.04,-0.12,-0.75
65,11,BC,RL,13288055,0,-0.19,1.00,0.80,1.64,0.32,0.75,0,0.00,1,1,-0.12,-0.75,-1.29,-0.04
61,11,AB,CR,92125775,0,1.87,1.75,1.40,-0.14,-0.04,0.80,0,0.00,1,1,0.31,-0.64,-1.24,-1.02
62,11,BA,RC,13288055,0,-0.19,1.00,0.80,0.53,-0.04,0.80,0,0.00,1,1,-1.24,-1.02,0.31,-0.64
70,12,CA,LC,92115433,0,-0.10,-0.45,0.07,0.26,1.12,0.64,1,0.00,1,1,0.47,-0.20,-1.61,-0.58
69,12,AC,CL,92186990,0,-0.28,1.65,1.05,-0.14,1.12,0.64,1,0.00,1,1,-1.61,-0.58,0.47,-0.20
72,12,CB,LR,92115433,0,-0.10,-0.45,0.07,0.53,-0.04,0.59,1,0.00,1,1,-0.55,-1.07,-1.24,-1.40
71,12,BC,RL,92163763,0,1.17,0.47,1.29,-0.14,-0.04,0.59,1,0.00,1,1,-1.24,-1.40,-0.55,-1.07
67,12,AB,CR,92186990,0,-0.28,1.65,1.05,0.53,0.59,0.76,1,0.58,1,1,-0.39,1.16,0.20,-0.58
68,12,BA,RC,92163763,0,1.17,0.47,1.29,0.26,0.59,0.76,1,0.29,1,1,0.20,-0.58,-0.39,1.16
78,13,CB,LC,13226912,1,1.17,0.87,-0.17,0.38,-2.17,0.82,0,0.00,0,1,0.89,-1.56,1.27,0.99
77,13,BC,CL,92150159,1,0.41,-0.58,-1.63,0.91,-2.17,0.82,0,0.71,1,0,1.27,0.99,0.89,-1.56
76,13,CA,LR,13226912,1,1.17,0.87,-0.17,-0.67,-1.19,0.77,1,0.95,0,1,-0.76,0.45,0.41,-0.04
75,13,AC,RL,92197597,1,0.09,0.87,0.56,0.91,-1.19,0.77,1,0.24,1,0,0.41,-0.04,-0.76,0.45
74,13,BA,CR,92150159,1,0.41,-0.58,-1.63,-0.67,1.30,0.80,0,0.00,1,1,-1.67,0.72,0.73,-1.40
73,13,AB,RC,92197597,1,0.09,0.87,0.56,0.38,1.30,0.80,0,0.24,1,1,0.73,-1.40,-1.67,0.72
81,14,AC,LC,13267876,0,0.86,-0.05,0.32,-0.41,-0.39,0.71,0,0.00,0,1,-0.97,-1.13,0.09,-0.31
82,14,CA,CL,92141602,0,-0.27,-1.23,0.56,0.40,-0.39,0.71,0,0.29,1,0,0.09,-0.31,-0.97,-1.13
79,14,AB,LR,13267876,0,0.86,-0.05,0.32,0.26,-0.21,0.75,0,0.29,0,0,0.20,0.12,-0.12,0.02
80,14,BA,RL,92113841,0,-0.27,-0.11,-2.12,0.40,-0.21,0.75,0,0.00,0,0,-0.12,0.02,0.20,0.12
84,14,CB,CR,92141602,0,-0.27,-1.23,0.56,0.26,0.50,0.78,1,0.57,1,1,0.68,0.78,-1.29,0.29
83,14,BC,RC,92113841,0,-0.27,-0.11,-2.12,-0.41,0.50,0.78,1,0.00,1,1,-1.29,0.29,0.68,0.78
